id,risk,category,probability,impact,detectability,priority_score,band,owner,evidence_gate,mitigation,formal_review_phase,status
R001,Clone perception / weak originality in actual play,design_commercial,3,5,3,45,HIGH,Product,Phase 030 blind-description and core-loop review,Physical port/relay/switch/Load identity; Phase 002 originality gate; avoid competitor layout/marketing,030,OPEN
R002,Command scarcity becomes busywork or obvious toggling,design,4,5,3,60,CRITICAL,Design,Phase 030 fresh-player retry/comprehension cohort,Remove repetitive controls; strengthen routing/priorities; keep two or more defensible allocations,030,OPEN
R003,One-board readability collapses as systems accumulate,ux_design,4,5,3,60,CRITICAL,UX,Phase 030 and 040 gameplay-scale readability cohorts,Information hierarchy; overlays; non-color cues; remove low-value state; controller parity,030,OPEN
R004,Controlled randomness still feels like restart fishing,design,3,4,3,36,MEDIUM,Design/Simulation,Phase 040 seeded fixtures and fair-loss interviews,Forecasts; rerolls/banishes/weighting; sidegrades; no mandatory counter hidden in offers,040,OPEN
R005,Scope expands beyond solo-production ceiling,scope_schedule,4,5,2,40,HIGH,Product,Every phase closure and monthly scope review,Phase 005 ceilings; change request; cut ladder before scope growth,010,OPEN
R006,Art/animation pipeline throughput misses roadmap,art_schedule,4,4,3,48,HIGH,Art/Tools,Phase 070 calibrated throughput review,Modular library; batch export; silhouette-first; simplify material/animation complexity before adding staff/content,070,OPEN
R007,Pinned Blender/tool versions or exports are not reproducible,technical_art,2,4,2,16,LOW,Art/Tools,Phase 019–020 clean regeneration,Version manifest; scripted export; clean-machine reproduction; ADR for upgrades,020,OPEN
R008,Engine/tool upgrade destabilizes deterministic behavior or imports,technical,2,5,3,30,MEDIUM,Engineering,Any proposed toolchain change; Phase 020/094 regression,Pin versions; migration branch; rollback; full deterministic/import gate,020,OPEN
R009,Doctrines become cosmetic percentage variants,design_content,3,4,3,36,MEDIUM,Design,Phase 045 doctrine comparison,Require structural rule change and different routing/build decisions; cut redundant modifiers,045,OPEN
R010,One dominant build collapses replayability,balance,3,4,4,48,HIGH,Design/Balance,Phase 091 seed sweeps; Phase 107 external feedback,Doctrine/boss matrix; interaction nerfs; preserve multiple viable archetypes,107,OPEN
R011,Run exceeds 35–50 minute target through housekeeping,design_ux,3,4,2,24,MEDIUM,Design/UX,Phase 067/099 timed full runs,Automate upkeep; collapse known resolution; remove redundant actions before cutting strategic decisions,100,OPEN
R012,Losses are opaque or feel unfair,design_ux,4,5,3,60,CRITICAL,Design/UX,Phase 040 fair-loss fixtures; Phase 099 demo runs,Forecast rules; authoritative previews; causal event log; post-run root-cause explanation,040,OPEN
R013,Market research is treated as a sales forecast,commercial,3,4,4,48,HIGH,Product,Phase 010/101/107 commercial review,Label hypotheses; refresh primary evidence; separate demand shape from revenue forecast,107,OPEN
R014,Public demo is released before representative quality,commercial_qa,3,4,2,24,MEDIUM,Product/QA,Phase 100 demo go/no-go,Hold or skip event window; never weaken demo gate to meet calendar,100,OPEN
R015,UI/animation becomes authoritative simulation state,technical,3,5,4,60,CRITICAL,Engineering,Phase 014 kernel and all integration tests,Typed deterministic model; simulation events drive presentation; headless fixtures,014,OPEN
R016,Save/replay determinism is designed too late or diverges,technical,3,5,4,60,CRITICAL,Engineering,Phase 014/016 and Phase 094 tests,Run-owned seed/RNG; command log; schema versions; golden replay/save fixtures,016,OPEN
R017,Controller/accessibility becomes late rework,accessibility_ux,3,4,4,48,HIGH,UX,Phase 017/081/082 audits,Input abstraction early; no-hover information; non-color cues; controller-first representative fixtures,082,OPEN
R018,Content quantity substitutes for strategic depth,scope_design,3,4,3,36,MEDIUM,Product/Design,Phase 050/054/057 content reviews,Every item needs unique job/counter; fix interactions before adding content; enforce ceilings,057,OPEN
R019,CPU/GPU/memory/install budgets miss targets,performance,2,4,4,32,MEDIUM,Engineering,Phase 085–086 exported-build profiling,State-change recomputation; pooling/batching; asset downsample; simplify effects before target-hardware expansion,086,OPEN
R020,Dependency/plugin/service creates removal or offline risk,technical_scope,2,4,4,32,MEDIUM,Engineering,Dependency addition review; Phase 095 offline/export gate,Necessity record; pinned version/license; removal path; offline fallback,095,OPEN
R021,Charterwake public name conflicts with earlier rights,legal_brand,3,4,4,48,HIGH,Product,Before store/logo lock; Phase 101,Keep title provisional; official/fuzzy/common-law search; rename-safe IDs and source files,101,OPEN
R022,Schedule reserve is exhausted before release hardening,schedule,3,4,2,24,MEDIUM,Product,Weekly dashboard; monthly scope review; Phase 070/100/112,Protect 75-day reserve; cut ladder; re-estimate; C5 release reserve cannot fund optional content,112,OPEN
R023,External project cash exceeds chosen scenario,budget,2,4,2,16,LOW,Product,Monthly scope review; before contract commitment,Choose scenario explicitly; quotes before spend; cut/defer specialist work; no hidden living-cost assumption,010,OPEN
R024,Localization/source-text churn causes rework,localization_content,2,3,3,18,LOW,Writing/Localization,Phase 089/110 content lock,Stable IDs/keys; source lock; reserve optional lore cuts; linguistic QA after lock,113,OPEN
R025,Playtest cohort is biased or too small to support decisions,research_qa,3,3,4,36,MEDIUM,Product/QA,Phase 030/040/100/107 research reviews,Minimum fresh-player cohorts; record recruitment/context; separate qualitative signals from population claims,107,OPEN
R026,Launch/support burden exceeds solo capacity,operations,2,3,3,18,LOW,Product/Support,Phase 114/116 release review,Hotfix pipeline; rollback; support triage template; no live-service commitment,116,OPEN
