section,key,toy,mvp,demo,launch_or_limit,unit,note
content,noncombat_structures,6,6,7,24,count,"Keep included; doctrine starts count inside cap"
content,combat_structures,0,2,3,9,count,"No independent army roster"
content,standard_enemies,0,3,6,15,count,"Strategically distinct types"
content,bosses,0,1,1,3,count,"Stages do not create new identities"
content,doctrines,1,1,1,4,count,"Shared central rules"
content,run_upgrades,0,8,12,45,count,"Includes 20 doctrine-exclusive upgrades"
content,systemic_events,0,2,4,24,count,"Text variants are not extra events"
content,oaths,0,0,0,6,count,"Baseline difficulty is not an Oath"
content,principal_biomes,1,1,1,1,count,"One principal visual world"
content,principal_modes,1,1,1,1,count,"Demo/test harness are subsets"
art,authored_visual_sets,,,,220,sets,"Hard planning ceiling"
art,allocated_color_frames,,,,389,frames,"11-frame reserve under cap"
art,color_frame_cap,,,,400,frames,"Next frame beyond 400 requires scope review"
text,launch_source_words,,,,12000,words,"Includes UI/tooltips/events/doctrines/codex/store/help"
text,demo_source_words,,,,4000,words,"Curated demo ceiling"
text,additional_target_languages,,,,2,languages,"No locale promised yet"
audio,cue_identities,,,,76,cues,"Non-music"
audio,variant_recordings,,,,180,files,"Non-music variants"
audio,music_pieces_target,,,,5,pieces,"Target"
audio,music_pieces_cap,,,,7,pieces,"Absolute cap"
audio,unique_music_minutes_cap,,,,24,minutes,"Unique composition"
performance,baseline_fps,,,,60,fps,"Minimum target"
performance,playable_fps,,,,30,fps,"Minimum fallback"
performance,process_memory_max,,,,1900,MB_decimal,"Maximum target"
performance,installed_build_max,,,,1800,MB_decimal,"Maximum target"
performance,texture_residency_max,,,,512,MB_decimal,"Maximum target"
performance,graph_rebuild_strict_max,,,,1,ms,"Must be strictly below"
performance,combat_tick_strict_max,,,,2,ms,"Must be strictly below"
performance,scene_transition_strict_max,,,,3,seconds,"Must be strictly below"
cash,lean_total,,,,4320,USD,"Includes 20% contingency"
cash,base_total,,,,12600,USD,"Includes 20% contingency"
cash,stretch_total,,,,18480,USD,"Includes 20% contingency"
schedule,target_months,,,,15,months,"Planning target"
schedule,safety_ceiling,,,,18,months,"Hard ceiling"
schedule,productive_prelaunch_hours,,,,1920,hours,"15-month model"
schedule,allocated_prelaunch_hours,,,,1320,hours,"Planned work"
schedule,unallocated_prelaunch_hours,,,,600,hours,"31.25% reserve"
