phase,title,estimate_dev_days,confidence,hard_predecessor,acceptance_critical_to_launch,relative_start,relative_end,workstream,milestone,stop_review,baseline_status,acceptance_weight_points
1,Research traceability and project charter,0.75,high,,yes,M1,M1,preproduction,,,accepted,3
2,Originality boundary and IP safety,0.75,high,1,yes,M1,M1,preproduction,,,accepted,3
3,Player promise and emotional arc,0.75,high,2,yes,M1,M1,preproduction,,,accepted,3
4,Core rules lock,1.25,high,3,yes,M1,M1,preproduction,,,accepted,5
5,Scope budget and content ceiling,1,high,4,yes,M1,M1,preproduction,,,accepted,4
6,Working title and brand vocabulary,0.75,high,5,yes,M1,M1,preproduction,,,accepted,3
7,Game design document baseline,1,high,6,yes,M1,M1,preproduction,,,accepted,4
8,Production roadmap and dependency graph,1,high,7,yes,M1,M1,preproduction,,,accepted,4
9,Risk register and kill criteria,0.75,high,8,yes,M1,M1,preproduction,,,planned,3
10,Preproduction approval gate,0.75,high,9,yes,M1,M1,preproduction,preproduction_approval,preproduction_go_no_go,planned,3
11,Repository bootstrap,1,medium,10,yes,M2,M2,foundation,,,planned,4
12,Build and continuous-integration skeleton,1,medium,11,yes,M2,M2,foundation,,,planned,4
13,Typed coding standard and review rules,0.75,medium,12,yes,M2,M2,foundation,,,planned,3
14,Deterministic simulation kernel,1.75,medium,13,yes,M2,M2,foundation,,,planned,7
15,Content resource schema,1.25,medium,14,yes,M2,M2,foundation,,,planned,5
16,"Save, versioning, and migration foundation",1.5,medium,15,yes,M2,M2,foundation,,,planned,6
17,Input action and device abstraction,1,medium,16,yes,M2,M2,foundation,,,planned,4
18,UI design system foundation,1.25,medium,17,yes,M2,M2,foundation,,,planned,5
19,Blender asset-pipeline template,1.5,medium,18,yes,M2,M2,foundation,,,planned,6
20,Godot asset-import and presentation calibration,1.5,medium,19,yes,M2,M2,foundation,foundation_calibration,,planned,6
21,Board coordinate model,1,medium,20,yes,M3,M3,graybox_toy,,,planned,4
22,Board view and camera interaction,1,medium,21,yes,M3,M3,graybox_toy,,,planned,4
23,Structure placement and rotation,1.25,medium,22,yes,M3,M3,graybox_toy,,,planned,5
24,Port graph construction,1.5,medium,23,yes,M3,M3,graybox_toy,,,planned,6
25,Command capacity and priority allocation,1.5,medium,24,yes,M3,M3,graybox_toy,,,planned,6
26,Switchhouse and circuit controls,1.25,medium,25,yes,M3,M3,graybox_toy,,,planned,5
